station_id,station_name,date,temp_day_avg_C,total_rain_mm,new_snow_height_cm,sunlight_h
_1895,LJUBLJANA - BEŽIGRAD,2000-06-16,20.1,1.9,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-06-17,17.4,0.0,0.0,14.8
_1895,LJUBLJANA - BEŽIGRAD,2000-06-18,18.2,0.0,0.0,15.0
_1895,LJUBLJANA - BEŽIGRAD,2000-06-19,22.2,0.0,0.0,14.7
_1895,LJUBLJANA - BEŽIGRAD,2000-06-20,24.2,0.0,0.0,14.4
_1895,LJUBLJANA - BEŽIGRAD,2000-06-21,25.0,0.0,0.0,11.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-22,25.6,0.0,0.0,14.4
_1895,LJUBLJANA - BEŽIGRAD,2000-06-23,24.7,0.0,0.0,14.7
_1895,LJUBLJANA - BEŽIGRAD,2000-06-24,19.2,6.7,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-25,12.9,20.6,0.0,3.9
_1895,LJUBLJANA - BEŽIGRAD,2000-06-26,16.9,8.9,0.0,9.3
_1895,LJUBLJANA - BEŽIGRAD,2000-06-27,19.4,0.0,0.0,11.6
_1895,LJUBLJANA - BEŽIGRAD,2000-06-28,18.3,0.0,0.0,3.0
_1895,LJUBLJANA - BEŽIGRAD,2000-06-29,19.3,2.5,0.0,7.9
_1895,LJUBLJANA - BEŽIGRAD,2000-06-30,19.2,3.3,0.0,6.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-01,22.1,2.2,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-02,24.3,0.0,0.0,13.4
_1895,LJUBLJANA - BEŽIGRAD,2000-07-03,26.3,0.0,0.0,13.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-04,25.6,0.0,0.0,11.0
_1895,LJUBLJANA - BEŽIGRAD,2000-07-05,24.1,0.0,0.0,12.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-06,24.6,0.0,0.0,12.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-07,25.8,0.0,0.0,14.0
_1895,LJUBLJANA - BEŽIGRAD,2000-07-08,18.2,0.0,0.0,0.6
_1895,LJUBLJANA - BEŽIGRAD,2000-07-09,16.9,59.4,0.0,8.8
_1895,LJUBLJANA - BEŽIGRAD,2000-07-10,20.1,0.1,0.0,13.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-11,16.7,22.7,0.0,5.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-12,18.0,10.4,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-07-13,15.8,0.0,0.0,7.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-14,15.2,0.0,0.0,3.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-15,13.8,19.0,0.0,5.9
_1895,LJUBLJANA - BEŽIGRAD,2000-07-16,14.3,20.7,0.0,3.2
_1895,LJUBLJANA - BEŽIGRAD,2000-07-17,16.8,2.3,0.0,11.9
_1895,LJUBLJANA - BEŽIGRAD,2000-07-18,17.7,0.1,0.0,9.7
_1895,LJUBLJANA - BEŽIGRAD,2000-07-19,17.7,0.0,0.0,8.6
_1895,LJUBLJANA - BEŽIGRAD,2000-07-20,18.3,2.3,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-21,18.4,0.0,0.0,9.4
_1895,LJUBLJANA - BEŽIGRAD,2000-07-22,20.4,0.0,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-23,21.7,0.0,0.0,9.4
_1895,LJUBLJANA - BEŽIGRAD,2000-07-24,21.0,0.0,0.0,6.9
_1895,LJUBLJANA - BEŽIGRAD,2000-07-25,22.9,0.0,0.0,13.3
_1895,LJUBLJANA - BEŽIGRAD,2000-07-26,23.1,0.0,0.0,12.9
_1895,LJUBLJANA - BEŽIGRAD,2000-07-27,22.2,0.0,0.0,12.4
_1895,LJUBLJANA - BEŽIGRAD,2000-07-28,18.3,0.0,0.0,6.9
_1895,LJUBLJANA - BEŽIGRAD,2000-07-29,19.1,14.5,0.0,9.2
_1895,LJUBLJANA - BEŽIGRAD,2000-07-30,17.7,4.1,0.0,8.5
_1895,LJUBLJANA - BEŽIGRAD,2000-07-31,19.2,0.2,0.0,11.4
_1895,LJUBLJANA - BEŽIGRAD,2000-08-01,21.6,0.0,0.0,13.8
_1895,LJUBLJANA - BEŽIGRAD,2000-08-02,22.9,0.0,0.0,13.6
_1895,LJUBLJANA - BEŽIGRAD,2000-08-03,23.2,0.0,0.0,8.1
_1895,LJUBLJANA - BEŽIGRAD,2000-08-04,19.1,0.0,0.0,1.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-05,17.2,3.2,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-06,18.7,29.7,0.0,4.3
_1895,LJUBLJANA - BEŽIGRAD,2000-08-07,19.6,0.2,0.0,9.5
_1895,LJUBLJANA - BEŽIGRAD,2000-08-08,20.1,0.0,0.0,11.1
_1895,LJUBLJANA - BEŽIGRAD,2000-08-09,19.9,0.0,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-08-10,21.9,0.0,0.0,12.9
_1895,LJUBLJANA - BEŽIGRAD,2000-08-11,23.4,0.0,0.0,12.2
_1895,LJUBLJANA - BEŽIGRAD,2000-08-12,22.8,0.0,0.0,12.4
_1895,LJUBLJANA - BEŽIGRAD,2000-08-13,22.8,0.0,0.0,9.3
_1895,LJUBLJANA - BEŽIGRAD,2000-08-14,23.3,0.3,0.0,11.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-15,23.8,0.0,0.0,12.7
_1895,LJUBLJANA - BEŽIGRAD,2000-08-16,24.0,0.0,0.0,13.2
_1895,LJUBLJANA - BEŽIGRAD,2000-08-17,25.1,0.0,0.0,12.9
_1895,LJUBLJANA - BEŽIGRAD,2000-08-18,25.8,0.0,0.0,13.2
_1895,LJUBLJANA - BEŽIGRAD,2000-08-19,26.9,0.0,0.0,13.1
_1895,LJUBLJANA - BEŽIGRAD,2000-08-20,25.8,0.0,0.0,13.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-21,26.0,0.0,0.0,12.7
_1895,LJUBLJANA - BEŽIGRAD,2000-08-22,25.5,0.0,0.0,12.6
_1895,LJUBLJANA - BEŽIGRAD,2000-08-23,24.7,0.0,0.0,12.9
_1895,LJUBLJANA - BEŽIGRAD,2000-08-24,22.7,0.0,0.0,11.3
_1895,LJUBLJANA - BEŽIGRAD,2000-08-25,23.3,0.0,0.0,11.8
_1895,LJUBLJANA - BEŽIGRAD,2000-08-26,20.0,0.0,0.0,12.6
_1895,LJUBLJANA - BEŽIGRAD,2000-08-27,19.1,0.0,0.0,11.2
_1895,LJUBLJANA - BEŽIGRAD,2000-08-28,15.8,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-29,18.5,0.1,0.0,10.2
_1895,LJUBLJANA - BEŽIGRAD,2000-08-30,21.7,0.0,0.0,11.0
_1895,LJUBLJANA - BEŽIGRAD,2000-08-31,18.9,0.5,0.0,2.4
_1895,LJUBLJANA - BEŽIGRAD,2000-09-01,21.0,38.8,0.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-09-02,17.0,0.0,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-09-03,15.9,26.9,0.0,10.0
_1895,LJUBLJANA - BEŽIGRAD,2000-09-04,14.2,2.2,0.0,4.3
_1895,LJUBLJANA - BEŽIGRAD,2000-09-05,14.6,3.8,0.0,7.7
_1895,LJUBLJANA - BEŽIGRAD,2000-09-06,15.8,0.0,0.0,10.2
_1895,LJUBLJANA - BEŽIGRAD,2000-09-07,14.2,4.5,0.0,1.2
_1895,LJUBLJANA - BEŽIGRAD,2000-09-08,14.7,1.3,0.0,10.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-09,15.3,0.0,0.0,11.1
_1895,LJUBLJANA - BEŽIGRAD,2000-09-10,15.6,0.0,0.0,9.7
_1895,LJUBLJANA - BEŽIGRAD,2000-09-11,16.6,0.0,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-12,17.8,0.0,0.0,11.0
_1895,LJUBLJANA - BEŽIGRAD,2000-09-13,19.6,0.0,0.0,8.8
_1895,LJUBLJANA - BEŽIGRAD,2000-09-14,20.6,0.0,0.0,9.3
_1895,LJUBLJANA - BEŽIGRAD,2000-09-15,19.8,0.0,0.0,9.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-16,18.6,0.0,0.0,3.9
_1895,LJUBLJANA - BEŽIGRAD,2000-09-17,16.8,28.6,0.0,6.7
_1895,LJUBLJANA - BEŽIGRAD,2000-09-18,16.6,0.2,0.0,0.1
_1895,LJUBLJANA - BEŽIGRAD,2000-09-19,16.2,3.9,0.0,1.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-20,20.4,7.8,0.0,7.6
_1895,LJUBLJANA - BEŽIGRAD,2000-09-21,16.2,4.9,0.0,4.9
_1895,LJUBLJANA - BEŽIGRAD,2000-09-22,16.2,1.5,0.0,9.4
_1895,LJUBLJANA - BEŽIGRAD,2000-09-23,14.7,0.0,0.0,5.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-24,11.9,0.0,0.0,4.6
_1895,LJUBLJANA - BEŽIGRAD,2000-09-25,13.6,0.0,0.0,7.5
_1895,LJUBLJANA - BEŽIGRAD,2000-09-26,14.9,0.0,0.0,6.9
_1895,LJUBLJANA - BEŽIGRAD,2000-09-27,14.7,0.0,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-09-28,16.2,0.0,0.0,3.9
_1895,LJUBLJANA - BEŽIGRAD,2000-09-29,16.3,0.0,0.0,8.7
_1895,LJUBLJANA - BEŽIGRAD,2000-09-30,14.5,0.3,0.0,0.9
_1895,LJUBLJANA - BEŽIGRAD,2000-10-01,16.0,15.2,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-02,16.1,25.4,0.0,6.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-03,14.6,14.9,0.0,0.3
_1895,LJUBLJANA - BEŽIGRAD,2000-10-04,15.0,24.0,0.0,2.8
_1895,LJUBLJANA - BEŽIGRAD,2000-10-05,15.3,0.3,0.0,4.1
_1895,LJUBLJANA - BEŽIGRAD,2000-10-06,14.5,0.0,0.0,0.4
_1895,LJUBLJANA - BEŽIGRAD,2000-10-07,9.8,13.3,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-08,10.0,27.3,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-09,10.0,0.4,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-10,11.3,3.8,0.0,0.6
_1895,LJUBLJANA - BEŽIGRAD,2000-10-11,14.2,33.7,0.0,3.1
_1895,LJUBLJANA - BEŽIGRAD,2000-10-12,16.0,0.2,0.0,0.7
_1895,LJUBLJANA - BEŽIGRAD,2000-10-13,17.0,0.0,0.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-14,16.9,0.0,0.0,5.2
_1895,LJUBLJANA - BEŽIGRAD,2000-10-15,16.3,0.1,0.0,4.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-16,15.1,2.5,0.0,6.2
_1895,LJUBLJANA - BEŽIGRAD,2000-10-17,14.3,0.1,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-10-18,14.1,4.3,0.0,2.1
_1895,LJUBLJANA - BEŽIGRAD,2000-10-19,13.6,0.1,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-20,11.5,3.6,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-10-21,10.2,0.0,0.0,2.3
_1895,LJUBLJANA - BEŽIGRAD,2000-10-22,9.6,0.0,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-10-23,6.5,0.0,0.0,3.9
_1895,LJUBLJANA - BEŽIGRAD,2000-10-24,9.3,0.0,0.0,6.9
_1895,LJUBLJANA - BEŽIGRAD,2000-10-25,10.9,0.0,0.0,4.8
